2025-04-05 01:31:15 | Temperatura: 26°C | Humedad: 49% | CO2: 1140.3 ppm | Sonido: 27.0 dB | Luz: 9.0 Lux
2025-04-05 01:31:19 | Temperatura: 26°C | Humedad: 49% | CO2: 1138.4 ppm | Sonido: 27.3 dB | Luz: 9.5 Lux
2025-04-05 01:31:23 | Temperatura: 26°C | Humedad: 49% | CO2: 1142.3 ppm | Sonido: 28.2 dB | Luz: 8.6 Lux
2025-04-05 01:31:27 | Temperatura: 26°C | Humedad: 49% | CO2: 1143.0 ppm | Sonido: 39.1 dB | Luz: 0.0 Lux
2025-04-05 01:31:30 | Temperatura: 26°C | Humedad: 49% | CO2: 1137.3 ppm | Sonido: 38.5 dB | Luz: 0.0 Lux
2025-04-05 01:31:34 | Temperatura: 26°C | Humedad: 49% | CO2: 1141.8 ppm | Sonido: 24.5 dB | Luz: 10.7 Lux
2025-04-05 01:31:38 | Temperatura: 26°C | Humedad: 49% | CO2: 1142.7 ppm | Sonido: 36.2 dB | Luz: 1.6 Lux
2025-04-05 01:34:50 | Temperatura: 26°C | Humedad: 49% | CO2: 1140.7 ppm | Sonido: 32.8 dB | Luz: 5.3 Lux
2025-04-05 01:34:54 | Temperatura: 26°C | Humedad: 48% | CO2: 1143.7 ppm | Sonido: 21.3 dB | Luz: 13.0 Lux
2025-04-05 01:34:58 | Temperatura: 26°C | Humedad: 48% | CO2: 1141.8 ppm | Sonido: 23.0 dB | Luz: 10.9 Lux
2025-04-05 01:35:02 | Temperatura: 26°C | Humedad: 48% | CO2: 1139.3 ppm | Sonido: 33.0 dB | Luz: 0.0 Lux
2025-04-05 01:35:06 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.9 ppm | Sonido: 32.9 dB | Luz: 0.3 Lux
2025-04-05 01:35:10 | Temperatura: 26°C | Humedad: 48% | CO2: 1137.3 ppm | Sonido: 30.8 dB | Luz: 3.4 Lux
2025-04-05 01:35:14 | Temperatura: 26°C | Humedad: 48% | CO2: 1141.6 ppm | Sonido: 24.2 dB | Luz: 11.7 Lux
2025-04-05 01:35:17 | Temperatura: 26°C | Humedad: 48% | CO2: 1136.6 ppm | Sonido: 38.8 dB | Luz: 0.0 Lux
2025-04-05 01:35:21 | Temperatura: 26°C | Humedad: 48% | CO2: 1145.6 ppm | Sonido: 38.3 dB | Luz: 0.0 Lux
2025-04-05 01:35:25 | Temperatura: 26°C | Humedad: 48% | CO2: 1135.5 ppm | Sonido: 38.1 dB | Luz: 0.0 Lux
2025-04-05 01:36:26 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.5 ppm | Sonido: 21.6 dB | Luz: 12.6 Lux
2025-04-05 01:36:30 | Temperatura: 26°C | Humedad: 48% | CO2: 1146.6 ppm | Sonido: 35.1 dB | Luz: 1.6 Lux
2025-04-05 01:36:34 | Temperatura: 26°C | Humedad: 48% | CO2: 1140.0 ppm | Sonido: 37.9 dB | Luz: 0.0 Lux
2025-04-05 01:36:38 | Temperatura: 26°C | Humedad: 48% | CO2: 1139.8 ppm | Sonido: 37.9 dB | Luz: 0.0 Lux
2025-04-05 01:36:41 | Temperatura: 26°C | Humedad: 48% | CO2: 1136.9 ppm | Sonido: 23.4 dB | Luz: 11.7 Lux
2025-04-05 01:36:45 | Temperatura: 26°C | Humedad: 48% | CO2: 1147.2 ppm | Sonido: 38.1 dB | Luz: 0.0 Lux
2025-04-05 01:36:49 | Temperatura: 26°C | Humedad: 48% | CO2: 1141.5 ppm | Sonido: 22.3 dB | Luz: 12.6 Lux
2025-04-05 01:36:53 | Temperatura: 26°C | Humedad: 48% | CO2: 1144.7 ppm | Sonido: 22.7 dB | Luz: 11.7 Lux
